Test,Function,Failed,Passed,Occurrence_Count,Failure_Count,Success_Count,Tarantula_Score,SBI_Score,Jaccard_Score,Ochiai_Score,Average_Score
testEquals,org/jfree/chart/annotations/CategoryTextAnnotation:setValue:(D)V,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testCloning2,org/jfree/chart/axis/AxisSpace:setBottom:(D)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testDrawWithNullInfo2,org/jfree/data/gantt/TaskSeriesCollection:getSubIntervalCount:(Ljava/lang/Comparable;Ljava/lang/Comparable;)I,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testNotification,org/jfree/chart/plot/CategoryPlot:getFixedDomainAxisSpace:()Lorg/jfree/chart/axis/AxisSpace;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testEquals,org/jfree/chart/annotations/CategoryTextAnnotation:setCategory:(Ljava/lang/Comparable;)V,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testGetPercentComplete,org/jfree/data/gantt/Task:getPercentComplete:()Ljava/lang/Double;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testCloning2,org/jfree/data/xy/DefaultIntervalXYDataset:clone:()Ljava/lang/Object;,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testEquals,org/jfree/chart/renderer/xy/XYAreaRenderer:setLegendArea:(Ljava/awt/Shape;)V,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testGetPercentComplete,org/jfree/data/gantt/TaskSeriesCollection:getPercentComplete:(II)Ljava/lang/Number;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testGetPercentComplete,org/jfree/data/gantt/TaskSeriesCollection:getPercentComplete:(Ljava/lang/Comparable;Ljava/lang/Comparable;)Ljava/lang/Number;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testCloning2,org/jfree/chart/plot/CategoryPlot:getFixedRangeAxisSpace:()Lorg/jfree/chart/axis/AxisSpace;,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testSerialization,org/jfree/chart/renderer/xy/StackedXYAreaRenderer:setShapeStroke:(Ljava/awt/Stroke;)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testBug1766646A,org/jfree/chart/renderer/xy/XYBlockRenderer:findDomainBounds:(Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/data/Range;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testSerialization,org/jfree/chart/renderer/xy/StackedXYAreaRenderer:setShapePaint:(Ljava/awt/Paint;)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testDrawWithNullInfo2,org/jfree/data/gantt/TaskSeriesCollection:getColumnIndex:(Ljava/lang/Comparable;)I,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testCloning2,org/jfree/chart/plot/CategoryPlot:setFixedRangeAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testSerialization,org/jfree/chart/renderer/xy/XYAreaRenderer:readObject:(Ljava/io/ObjectInputStream;)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testGetSurroundingItems,org/jfree/data/time/TimeSeriesCollection:getX:(Lorg/jfree/data/time/RegularTimePeriod;)J,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testSerialization,org/jfree/chart/renderer/xy/XYAreaRenderer:writeObject:(Ljava/io/ObjectOutputStream;)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testSortByKeyDescending,org/jfree/data/DefaultKeyedValues:sortByKeys:(Lorg/jfree/util/SortOrder;)V,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testCloning2,org/jfree/chart/plot/CategoryPlot:setFixedDomainAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;)V,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testSerialization2,org/jfree/data/time/TimeSeriesCollection:getDomainBounds:(Ljava/util/List;Z)Lorg/jfree/data/Range;,False,True,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testDrawWithNullInfo2,org/jfree/data/gantt/TaskSeriesCollection:getValue:(II)Ljava/lang/Number;,True,False,2,1.0,1.0,0.9858532272325377,0.5,0.030303030303030304,0.125,0.410289064383892
testTranslateToJava2D_LogAxis,org/jfree/chart/axis/LogAxis:configure:()V,False,True,5,2.0,3.0,0.9789288849868306,0.4,0.05714285714285714,0.15811388300841897,0.3985464062845267
testRefreshTicksWithZeroTickUnit,org/jfree/chart/axis/LogAxis:calculateValueNoINF:(D)D,False,True,5,2.0,3.0,0.9789288849868306,0.4,0.05714285714285714,0.15811388300841897,0.3985464062845267
testRefreshTicksWithZeroTickUnit,org/jfree/chart/axis/LogAxis:calculateValue:(D)D,False,True,6,2.0,4.0,0.972101133391456,0.3333333333333333,0.05555555555555555,0.14433756729740646,0.37633189739443784
testRefreshTicksWithZeroTickUnit,org/jfree/chart/axis/LogAxis:calculateLog:(D)D,False,True,7,2.0,5.0,0.9653679653679653,0.2857142857142857,0.05405405405405406,0.1336306209562122,0.35969173152312933
testEquals,org/jfree/chart/plot/RingPlot:setSeparatorPaint:(Ljava/awt/Paint;)V,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/chart/plot/CrosshairState:getAnchor:()Ljava/awt/geom/Point2D;,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/data/gantt/TaskSeriesCollection:getEndValue:(Ljava/lang/Comparable;Ljava/lang/Comparable;)Ljava/lang/Number;,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
testDrawWithNullInfo2,org/jfree/data/gantt/Task:getSubtaskCount:()I,True,False,3,1.0,2.0,0.972101133391456,0.3333333333333333,0.029411764705882353,0.10206207261596577,0.3592270760116593
